"","items","count","total","rnd","customer","age","city","paymentType"
"1","citrus fruit,semi-finished bread,margarine,ready soups",4,1612,9,"Maged",60,"Hurghada","Cash"
"2","tropical fruit,yogurt,coffee",3,509,12,"Eman",23,"Aswan","Cash"
"3","whole milk",1,2084,8,"Rania",37,"Dakahlia","Cash"
"4","pip fruit,yogurt,cream cheese ,meat spreads",4,788,8,"Rania",37,"Dakahlia","Cash"
"5","other vegetables,whole milk,condensed milk,long life bakery product",4,1182,14,"Magdy",36,"Sohag","Cash"
"6","whole milk,butter,yogurt,rice,abrasive cleaner",5,1771,3,"Ahmed",30,"Giza","Credit"
"7","rolls/buns",1,2196,7,"Huda",39,"Gharbia","Cash"
"8","other vegetables,UHT-milk,rolls/buns,bottled beer,liquor (appetizer)",5,1657,6,"Walaa",29,"Cairo","Cash"
"9","pot plants",1,2373,2,"Mohamed",25,"Alexandria","Credit"
"10","whole milk,cereals",2,343,5,"Shimaa",55,"Port Said","Cash"
"11","tropical fruit,other vegetables,white bread,bottled water,chocolate",5,1381,2,"Mohamed",25,"Alexandria","Cash"
"12","citrus fruit,tropical fruit,whole milk,butter,curd,yogurt,flour,bottled water,dishes",9,1965,1,"Farida",22,"Cairo","Credit"
"13","beef",1,784,11,"Hanan",22,"Fayoum","Cash"
"14","frankfurter,rolls/buns,soda",3,1001,7,"Huda",39,"Gharbia","Credit"
"15","chicken,tropical fruit",2,1579,13,"Sayed",37,"Cairo","Credit"
"16","butter,sugar,fruit/vegetable juice,newspapers",4,585,8,"Rania",37,"Dakahlia","Credit"
"17","fruit/vegetable juice",1,184,5,"Shimaa",55,"Port Said","Cash"
"18","packaged fruit/vegetables",1,1737,12,"Eman",23,"Aswan","Cash"
"19","chocolate",1,184,6,"Walaa",29,"Cairo","Cash"
"20","specialty bar",1,469,7,"Huda",39,"Gharbia","Cash"
"21","other vegetables",1,408,5,"Shimaa",55,"Port Said","Cash"
"22","butter milk,pastry",2,2252,7,"Huda",39,"Gharbia","Credit"
"23","whole milk",1,1538,3,"Ahmed",30,"Giza","Cash"
"24","tropical fruit,cream cheese ,processed cheese,detergent,newspapers",5,1215,9,"Maged",60,"Hurghada","Credit"
"25","tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner",11,1762,4,"Adel",50,"Alexandria","Credit"
"26","bottled water,canned beer",2,2384,15,"Sameh",35,"Hurghada","Cash"
"27","yogurt",1,599,1,"Farida",22,"Cairo","Cash"
"28","sausage,rolls/buns,soda,chocolate",4,2360,10,"Samy",55,"Alexandria","Credit"
"29","other vegetables",1,1906,1,"Farida",22,"Cairo","Credit"
"30","brown bread,soda,fruit/vegetable juice,canned beer,newspapers,shopping bags",6,391,13,"Sayed",37,"Cairo","Cash"
"31","yogurt,beverages,bottled water,specialty bar",4,556,3,"Ahmed",30,"Giza","Cash"
"32","hamburger meat,other vegetables,rolls/buns,spices,bottled water,hygiene articles,napkins",7,1821,5,"Shimaa",55,"Port Said","Cash"
"33","root vegetables,other vegetables,whole milk,beverages,sugar",5,676,3,"Ahmed",30,"Giza","Credit"
